Treatment,RightingTime_seconds,Individual 
Gradual,167,Gradual1
Gradual,120,Gradual1
Gradual,92,Gradual1
Gradual,103,Gradual1
Gradual,74,Gradual1
Gradual,480,Gradual1
Gradual,122,Gradual1
Gradual,438,Gradual1
Gradual,259,Gradual1
Gradual,182,Gradual1
Gradual,183,Gradual1
Gradual,328,Gradual1
Gradual,362,Gradual1
Gradual,452,Gradual2
Gradual,115,Gradual2
Gradual,150,Gradual2
Gradual,102,Gradual2
Gradual,210,Gradual2
Gradual,158,Gradual2
Gradual,158,Gradual2
Gradual,136,Gradual2
Gradual,139,Gradual2
Gradual,244,Gradual2
Gradual,129,Gradual2
Gradual,190,Gradual2
Gradual,180,Gradual2
Gradual,345,Gradual2
Gradual,251,Gradual2
Steady,136,Steady3
Steady,82,Steady3
Steady,114,Steady3
Steady,393,Steady3
Steady,334,Steady3
Steady,688,Steady3
Steady,279,Steady3
Steady,307,Steady3
Steady,120,Steady3
Steady,69,Steady3
Steady,92,Steady3
Steady,84,Steady3
Steady,74,Steady3
Steady,83,Steady3
Steady,114,Steady4
Steady,163,Steady4
Steady,495,Steady4
Steady,612,Steady4
Steady,273,Steady4
Steady,228,Steady4
Steady,286,Steady4
Steady,246,Steady4
Steady,286,Steady4
Steady,124,Steady4
Steady,236,Steady4
Steady,206,Steady4
Steady,123,Steady4
Steady,312,Steady4
Gradual,144,Gradual6
Gradual,141,Gradual6
Gradual,145,Gradual6
Gradual,177,Gradual6
Gradual,287,Gradual6
Gradual,134,Gradual6
Gradual,177,Gradual6
Gradual,281,Gradual6
Gradual,101,Gradual6
Gradual,230,Gradual6
Gradual,333,Gradual6
Gradual,261,Gradual6
Gradual,179,Gradual6
Gradual,233,Gradual6
Steady,109,Steadt7
Steady,63,Steadt7
Steady,126,Steadt7
Steady,164,Steadt7
Steady,121,Steadt7
Steady,165,Steadt7
Steady,191,Steadt7
Steady,365,Steadt7
Steady,365,Steadt7
Steady,62,Steadt7
Steady,97,Steadt7
Steady,79,Steadt7
Steady,83,Steadt7
Steady,109,Steadt7
Steady,62,Steady8
Steady,108,Steady8
Steady,68,Steady8
Steady,103,Steady8
Steady,81,Steady8
Steady,80,Steady8
Steady,146,Steady8
Steady,124,Steady8
Steady,124,Steady8
Steady,126,Steady8
Steady,190,Steady8
Steady,215,Steady8
Steady,192,Steady8
Steady,159,Steady8
